Feature,Coefficient,Abs_Coefficient,state
county_code_48063,-0.0005400908476991572,0.0005400908476991572,TX
county_code_48065,-0.00036333602630031367,0.00036333602630031367,TX
county_code_48067,-0.007787237417571485,0.007787237417571485,TX
county_code_48069,-0.0009632935676030279,0.0009632935676030279,TX
county_code_48071,-0.004265311933466447,0.004265311933466447,TX
county_code_48073,-0.012779451984637964,0.012779451984637964,TX
county_code_48075,-0.000604570687324443,0.000604570687324443,TX
county_code_48077,0.00017505786404485327,0.00017505786404485327,TX
county_code_48079,-0.00047689469895767386,0.00047689469895767386,TX
county_code_48081,-0.0008620064676539734,0.0008620064676539734,TX
county_code_48083,-0.0009665949416861011,0.0009665949416861011,TX
county_code_48085,0.06292613811066908,0.06292613811066908,TX
county_code_48087,-0.00032560170819093793,0.00032560170819093793,TX
county_code_48089,-0.003589487158234403,0.003589487158234403,TX
county_code_48091,0.0009069668263756589,0.0009069668263756589,TX
county_code_48093,-0.000664061762254649,0.000664061762254649,TX
county_code_48095,-0.0006519455672405377,0.0006519455672405377,TX
county_code_48097,-0.0007059010500594137,0.0007059010500594137,TX
county_code_48099,0.0022440337922442657,0.0022440337922442657,TX
county_code_48101,-0.0001992124478335757,0.0001992124478335757,TX
county_code_48103,-0.0013152747888044408,0.0013152747888044408,TX
county_code_48105,-0.0003281461930064973,0.0003281461930064973,TX
county_code_48107,-0.00023176486187014437,0.00023176486187014437,TX
county_code_48109,-0.0010462822082300573,0.0010462822082300573,TX
county_code_48111,-0.0013414353828632131,0.0013414353828632131,TX
county_code_48113,0.09963644425024656,0.09963644425024656,TX
county_code_48115,-0.0005585693991464678,0.0005585693991464678,TX
county_code_48117,-0.0003288254951117346,0.0003288254951117346,TX
county_code_48119,-0.0006418825091471291,0.0006418825091471291,TX
county_code_48121,0.05542486955856221,0.05542486955856221,TX
county_code_48123,-0.002064750377773613,0.002064750377773613,TX
county_code_48125,-0.0003504103374780478,0.0003504103374780478,TX
county_code_48127,-0.00101957107643865,0.00101957107643865,TX
county_code_48129,-0.0004066879001338481,0.0004066879001338481,TX
county_code_48131,-0.001700472623722461,0.001700472623722461,TX
county_code_48133,-0.00196419261517222,0.00196419261517222,TX
county_code_48135,-0.054042716908890925,0.054042716908890925,TX
county_code_48137,-0.00043262367182408105,0.00043262367182408105,TX
county_code_48139,0.008110299041447288,0.008110299041447288,TX
county_code_48141,0.047116353578316714,0.047116353578316714,TX
county_code_48143,0.0007338790964148188,0.0007338790964148188,TX
county_code_48145,-0.0019277047937301442,0.0019277047937301442,TX
county_code_48147,-0.0016429656059441585,0.0016429656059441585,TX
county_code_48149,-0.004234429224388676,0.004234429224388676,TX
county_code_48151,-0.0004083486075430601,0.0004083486075430601,TX
county_code_48153,-0.0004149701696996084,0.0004149701696996084,TX
county_code_48155,-0.0001259402996756958,0.0001259402996756958,TX
county_code_48157,0.03120234955287283,0.03120234955287283,TX
county_code_48159,-0.0006203597561923805,0.0006203597561923805,TX
county_code_48161,-0.005186405759948387,0.005186405759948387,TX
county_code_48163,-0.0048236765455728844,0.0048236765455728844,TX
county_code_48165,-0.005261426219896479,0.005261426219896479,TX
county_code_48167,0.013595328931254423,0.013595328931254423,TX
county_code_48169,-0.0010672211961128579,0.0010672211961128579,TX
county_code_48171,-0.0020311457385749658,0.0020311457385749658,TX
county_code_48173,-0.00035636866404427554,0.00035636866404427554,TX
county_code_48175,-0.001162828397282813,0.001162828397282813,TX
county_code_48177,-0.005181704841523662,0.005181704841523662,TX
county_code_48179,-0.00016836955179741072,0.00016836955179741072,TX
county_code_48181,0.00245686920935956,0.00245686920935956,TX
county_code_48183,-0.000822521088032735,0.000822521088032735,TX
county_code_48185,-0.007475233770231369,0.007475233770231369,TX
county_code_48187,0.0071074356325414164,0.0071074356325414164,TX
county_code_48189,9.066765118925747e-05,9.066765118925747e-05,TX
county_code_48191,0.00012915348126206589,0.00012915348126206589,TX
county_code_48193,-0.0004883815567015903,0.0004883815567015903,TX
county_code_48195,-0.00021082021216179499,0.00021082021216179499,TX
county_code_48197,-0.0003537168068884485,0.0003537168068884485,TX
county_code_48199,-0.016567820627816365,0.016567820627816365,TX
county_code_48201,0.1267470794930766,0.1267470794930766,TX
county_code_48203,-0.010963056465431182,0.010963056465431182,TX
county_code_48205,4.828877794090158e-05,4.828877794090158e-05,TX
county_code_48207,-0.00033790658697522267,0.00033790658697522267,TX
county_code_48209,0.0038658766962812357,0.0038658766962812357,TX
county_code_48211,-1.5999564151006208e-05,1.5999564151006208e-05,TX
county_code_48213,-0.01822746605885634,0.01822746605885634,TX
county_code_48215,-0.011030706592567689,0.011030706592567689,TX
county_code_48217,-0.00556087542091647,0.00556087542091647,TX
county_code_48219,-0.005096229679720153,0.005096229679720153,TX
county_code_48221,0.001053654947603182,0.001053654947603182,TX
county_code_48223,-0.0026032670534301095,0.0026032670534301095,TX
county_code_48225,-0.005122515976370015,0.005122515976370015,TX
county_code_48227,0.002005919923115416,0.002005919923115416,TX
county_code_48229,-0.0015417465062960165,0.0015417465062960165,TX
county_code_48231,-0.00379270183025402,0.00379270183025402,TX
county_code_48233,-0.0006091536608430744,0.0006091536608430744,TX
county_code_48235,-0.00024275827593046135,0.00024275827593046135,TX
county_code_48237,-0.00089659690765483,0.00089659690765483,TX
county_code_48239,-0.0017974007078562881,0.0017974007078562881,TX
county_code_48241,-0.011825747478640439,0.011825747478640439,TX
county_code_48243,-0.00043267457329871706,0.00043267457329871706,TX
county_code_48245,0.0003868353253952548,0.0003868353253952548,TX
county_code_48247,-0.0005397958593754776,0.0005397958593754776,TX
county_code_48249,-0.0033851081719180384,0.0033851081719180384,TX
county_code_48251,0.0026051014352072846,0.0026051014352072846,TX
county_code_48253,-0.0038644604602785116,0.0038644604602785116,TX
county_code_48255,-0.0025378971116729807,0.0025378971116729807,TX
county_code_48257,0.0027584906261438774,0.0027584906261438774,TX
county_code_48259,0.0025731519198534765,0.0025731519198534765,TX
county_code_48261,-0.0001517191717301801,0.0001517191717301801,TX
county_code_48263,-0.0002792646816967633,0.0002792646816967633,TX
county_code_48265,-0.001636959200276863,0.001636959200276863,TX
county_code_48267,-0.0005057662959311711,0.0005057662959311711,TX
county_code_48269,-0.00022064738370331934,0.00022064738370331934,TX
county_code_48271,-0.0004529501911786698,0.0004529501911786698,TX
