Feature,Coefficient,state
applicant_age_-99,0.157671355,NY
applicant_age_-99,0.079342309,WA
applicant_age_-99,0.078891463,TX
applicant_age_<25,-0.04898277,NY
applicant_age_<25,0.045647846,WA
applicant_age_<25,-0.031749313,TX
applicant_age_>74,-0.011151405,NY
applicant_age_>74,-0.031392042,WA
applicant_age_>74,-0.007616339,TX
applicant_age_35-44,-0.018821818,NY
applicant_age_35-44,-0.106831383,WA
applicant_age_35-44,-0.072175716,TX
applicant_age_45-54,-0.15197419,NY
applicant_age_45-54,-0.190267619,WA
applicant_age_45-54,-0.154484699,TX
applicant_age_55-64,-0.099871101,NY
applicant_age_55-64,-0.190331124,WA
applicant_age_55-64,-0.085526679,TX
applicant_age_65-74,-0.01990048,NY
applicant_age_65-74,-0.066402655,WA
applicant_age_65-74,-0.01872892,TX
applicant_age_25-34,0,NY
applicant_age_25-35,0,WA
applicant_age_25-36,0,TX
county_code_36001,0,NY
county_code_48001,0,TX
county_code_53001,0,WA
county_code_36003,-0.008108295,NY
county_code_36005,-0.044659271,NY
county_code_36007,-0.001718215,NY
county_code_36009,-0.010823042,NY
county_code_36011,-0.003929261,NY
county_code_36013,-0.011473039,NY
county_code_36015,-0.004104472,NY
county_code_36017,-0.012653282,NY
county_code_36019,-0.009954679,NY
county_code_36021,-0.000670019,NY
county_code_36023,-0.001336554,NY
county_code_36025,-0.010552373,NY
county_code_36027,-0.000204432,NY
county_code_36029,0.085952694,NY
county_code_36031,-0.002118302,NY
county_code_36033,-0.006951924,NY
county_code_36035,-0.004657006,NY
county_code_36037,0.0030057,NY
county_code_36039,0.001887931,NY
county_code_36041,-0.000181163,NY
county_code_36043,-0.00552582,NY
county_code_36045,0.000481348,NY
county_code_36047,-0.091520878,NY
county_code_36049,-0.001846421,NY
county_code_36051,0.003596563,NY
county_code_36053,-0.003923299,NY
county_code_36055,0.156846792,NY
county_code_36057,-0.005806139,NY
county_code_36059,0.017697414,NY
county_code_36061,-0.047018048,NY
county_code_36063,0.004674832,NY
county_code_36065,-0.014972557,NY
county_code_36067,0.037835462,NY
county_code_36069,0.008112552,NY
county_code_36071,-0.019677412,NY
county_code_36073,-0.000649298,NY
county_code_36075,-0.018059018,NY
county_code_36077,-0.016576169,NY
county_code_36079,0.001977441,NY
county_code_36081,-0.067106369,NY
county_code_36083,0.010332749,NY
county_code_36085,0.018175162,NY
county_code_36087,0.003617381,NY
county_code_36089,-0.014669816,NY
county_code_36091,-0.003832717,NY
county_code_36093,0.010098749,NY
county_code_36095,-0.002261592,NY
county_code_36097,-0.003889399,NY
county_code_36099,-0.003704786,NY
county_code_36101,-0.007322051,NY
county_code_36103,0.051526509,NY
county_code_36105,-0.023662705,NY
county_code_36107,-0.009139269,NY
county_code_36109,0.001666907,NY
county_code_36111,-0.012978493,NY
county_code_36113,0.004517389,NY
county_code_36115,-0.002620999,NY
county_code_36117,0.00424246,NY
county_code_36119,0.005057545,NY
county_code_36121,-0.000602745,NY
county_code_36123,0.003594907,NY
county_code_48003,-0.004969937,TX
county_code_48005,-0.016396603,TX
county_code_48007,-0.003941217,TX
county_code_48009,-0.000127878,TX
county_code_48011,-0.000183934,TX
county_code_48013,-0.021037481,TX
county_code_48015,-0.007799107,TX
county_code_48017,-0.000320259,TX
county_code_48019,-0.003545943,TX
county_code_48021,-0.022459961,TX
county_code_48023,-0.000137184,TX
county_code_48025,-0.001555233,TX
county_code_48027,0.032632062,TX
county_code_48029,0.110798412,TX
county_code_48031,-0.000343921,TX
county_code_48033,-0.000139018,TX
county_code_48035,-0.001459821,TX
county_code_48037,-0.008634076,TX
county_code_48039,-0.002725599,TX
county_code_48041,-0.005985838,TX
county_code_48043,-0.000474219,TX
county_code_48045,-0.000356643,TX
county_code_48047,-0.000379497,TX
county_code_48049,-0.003882242,TX
county_code_48051,-0.006639538,TX
county_code_48053,-0.002207309,TX
county_code_48055,-0.011973809,TX
county_code_48057,-0.002288278,TX
county_code_48059,-0.002140563,TX
county_code_48061,0.003274478,TX
county_code_48063,-0.000812498,TX
county_code_48065,-0.000539809,TX
county_code_48067,-0.00784483,TX
county_code_48069,-0.001102324,TX
county_code_48071,-0.006034781,TX
county_code_48073,-0.012851605,TX
county_code_48075,-0.000563922,TX
county_code_48077,-2.61E-05,TX
county_code_48079,-0.000443507,TX
county_code_48081,-0.000670941,TX
county_code_48083,-0.001460963,TX
county_code_48085,0.050021916,TX
county_code_48087,-0.000298179,TX
county_code_48089,-0.004140404,TX
county_code_48091,-0.002340521,TX
county_code_48093,-0.000424514,TX
county_code_48095,-0.000658803,TX
county_code_48097,-0.001117412,TX
county_code_48099,0.001658186,TX
county_code_48101,-0.00013595,TX
county_code_48103,-0.001565351,TX
county_code_48105,-0.000453549,TX
county_code_48107,-0.000399242,TX
county_code_48109,-0.000822854,TX
county_code_48111,-0.001347633,TX
county_code_48113,0.092316269,TX
county_code_48115,-0.000522922,TX
county_code_48117,-0.000765674,TX
county_code_48119,-0.001045191,TX
county_code_48121,0.043159872,TX
county_code_48123,-0.002519501,TX
county_code_48125,-0.000244065,TX
county_code_48127,-0.001243416,TX
county_code_48129,-0.000327222,TX
county_code_48131,-0.002044745,TX
county_code_48133,-0.002027641,TX
county_code_48135,-0.057846608,TX
county_code_48137,-0.000578694,TX
county_code_48139,0.005874456,TX
county_code_48141,0.046390747,TX
county_code_48143,0.000989847,TX
county_code_48145,-0.002055445,TX
county_code_48147,-0.001584022,TX
county_code_48149,-0.003891353,TX
county_code_48151,-0.000375346,TX
county_code_48153,-0.000422177,TX
county_code_48155,-0.000143994,TX
county_code_48157,0.024712528,TX
county_code_48159,-0.000512109,TX
county_code_48161,-0.004976954,TX
county_code_48163,-0.005296199,TX
county_code_48165,-0.006067221,TX
county_code_48167,0.010121276,TX
county_code_48169,-0.00122703,TX
county_code_48171,-0.002056124,TX
county_code_48173,-0.000474335,TX
county_code_48175,-0.001152051,TX
county_code_48177,-0.005698042,TX
county_code_48179,-0.000282766,TX
county_code_48181,0.00126674,TX
county_code_48183,-0.001608823,TX
county_code_48185,-0.007380144,TX
county_code_48187,0.004880415,TX
county_code_48189,0.000259626,TX
county_code_48191,4.66E-06,TX
county_code_48193,-0.000368755,TX
county_code_48195,-0.000226391,TX
county_code_48197,-0.000405018,TX
county_code_48199,-0.019031482,TX
county_code_48201,5.17E-06,NY
county_code_48201,0.106676768,TX
county_code_48203,-0.012276381,TX
county_code_48205,-0.000151084,TX
county_code_48207,-0.000467733,TX
county_code_48209,0.001237988,TX
county_code_48211,-0.000196535,TX
county_code_48213,-0.019105948,TX
county_code_48215,-0.016070816,TX
county_code_48217,-0.005309976,TX
county_code_48219,-0.005047716,TX
county_code_48221,-0.000215575,TX
county_code_48223,-0.002767224,TX
county_code_48225,-0.005101718,TX
county_code_48227,0.001612179,TX
county_code_48229,-0.001824705,TX
county_code_48231,-0.004306984,TX
county_code_48233,-0.000832228,TX
county_code_48235,-0.000210345,TX
county_code_48237,-0.001015154,TX
county_code_48239,-0.001955154,TX
county_code_48241,-0.01266947,TX
county_code_48243,-0.000485643,TX
county_code_48245,0.000235489,TX
county_code_48247,-0.000765357,TX
county_code_48249,-0.004092379,TX
county_code_48251,-0.001306527,TX
county_code_48253,-0.004145015,TX
county_code_48255,-0.002624362,TX
county_code_48257,-0.000489726,TX
county_code_48259,0.00211285,TX
county_code_48261,-0.000153307,TX
county_code_48263,-0.00025619,TX
county_code_48265,-0.001989097,TX
county_code_48267,-0.000676408,TX
county_code_48269,-0.000128246,TX
county_code_48271,-0.00051731,TX
county_code_48273,0.00108654,TX
county_code_48275,-0.0001063,TX
county_code_48277,-0.001254131,TX
county_code_48279,-0.001682774,TX
county_code_48281,-0.000594033,TX
county_code_48283,-0.00107563,TX
county_code_48285,-0.003513778,TX
county_code_48287,-0.003298979,TX
county_code_48289,-0.004548792,TX
county_code_48291,-0.062224384,TX
county_code_48293,-0.00518471,TX
county_code_48295,-0.000163344,TX
county_code_48297,-0.001122342,TX
county_code_48299,-0.001553273,TX
county_code_48301,-9.25E-05,TX
county_code_48303,0.015324285,TX
county_code_48305,-0.001153789,TX
county_code_48307,-0.000506105,TX
county_code_48309,0.007179545,TX
county_code_48311,-0.000153267,TX
county_code_48313,-0.00410701,TX
county_code_48315,-0.002534921,TX
county_code_48317,-0.002390885,TX
county_code_48319,-0.000142409,TX
county_code_48321,-0.002626421,TX
county_code_48323,0.000522439,TX
county_code_48325,-0.009320124,TX
county_code_48327,-0.000313742,TX
county_code_48329,-0.021240143,TX
county_code_48331,-0.003531615,TX
county_code_48333,-0.000280537,TX
county_code_48335,-0.00112151,TX
county_code_48337,-0.001617059,TX
county_code_48339,-0.025713402,TX
county_code_48341,-0.00119691,TX
county_code_48343,-0.001543246,TX
county_code_48345,-1.59E-05,TX
county_code_48347,-0.007867763,TX
county_code_48349,-0.013032174,TX
county_code_48351,-0.006123665,TX
county_code_48353,-0.00164743,TX
county_code_48355,0.016352811,TX
county_code_48357,7.87E-05,TX
county_code_48359,-0.000127089,TX
county_code_48361,-0.012835703,TX
county_code_48363,-0.00112842,TX
county_code_48365,-0.005935366,TX
county_code_48367,0.000214744,TX
county_code_48369,-0.000166959,TX
county_code_48371,-0.004085549,TX
county_code_48373,-0.014134584,TX
county_code_48375,-0.005506342,TX
county_code_48377,-0.000686218,TX
county_code_48379,-0.001186359,TX
county_code_48381,0.011742063,TX
county_code_48383,-0.000740435,TX
county_code_48385,-0.000899698,TX
county_code_48387,-0.001755685,TX
county_code_48389,-0.004433687,TX
county_code_48391,-0.001479392,TX
county_code_48393,-0.000185377,TX
county_code_48395,-0.00523894,TX
county_code_48397,0.009173485,TX
county_code_48399,-0.000425157,TX
county_code_48401,-0.007789059,TX
county_code_48403,-0.003552968,TX
county_code_48405,-0.002942691,TX
county_code_48407,-0.011826307,TX
county_code_48409,-0.001693469,TX
county_code_48411,-0.000258257,TX
county_code_48413,-0.00026834,TX
county_code_48415,-0.000746398,TX
county_code_48417,-0.00013881,TX
county_code_48419,-0.006807907,TX
county_code_48421,-2.53E-05,TX
county_code_48423,-0.014885259,TX
county_code_48425,-0.000457816,TX
county_code_48427,-0.002429941,TX
county_code_48429,-0.000842499,TX
county_code_48431,-0.000350108,TX
county_code_48433,-5.10E-05,TX
county_code_48435,-0.000195618,TX
county_code_48437,-0.000252597,TX
county_code_48439,0.114892764,TX
county_code_48441,0.003436472,TX
county_code_48443,-6.03E-05,TX
county_code_48445,-0.001995364,TX
county_code_48447,-0.000293919,TX
county_code_48449,-0.001364779,TX
county_code_48451,0.005344774,TX
county_code_48453,0.01383117,TX
county_code_48455,-0.004681081,TX
county_code_48457,-0.008081378,TX
county_code_48459,-0.007775539,TX
county_code_48461,-0.001474851,TX
county_code_48463,-0.001196599,TX
county_code_48465,0.000762178,TX
county_code_48467,-0.011928005,TX
county_code_48469,-0.010344536,TX
county_code_48471,-0.009614487,TX
county_code_48473,-0.008723547,TX
county_code_48475,-0.003252234,TX
county_code_48477,-0.005846459,TX
county_code_48479,0.019328403,TX
county_code_48481,-0.003492145,TX
county_code_48483,-0.000568474,TX
county_code_48485,0.008927612,TX
county_code_48487,-5.05E-05,TX
county_code_48489,-0.001388061,TX
county_code_48491,0.04432768,TX
county_code_48493,-0.00588842,TX
county_code_48495,-0.002201898,TX
county_code_48497,-0.005752213,TX
county_code_48499,-0.004492408,TX
county_code_48501,-0.001766166,TX
county_code_48503,-0.001445032,TX
county_code_48505,-0.000131231,TX
county_code_48507,-0.001525513,TX
