Feature,Coefficient,state,,,,,,,,,,
county_code_48031,-0.001131376,TX,,,,,,,,,,
county_code_48033,-0.000240167,TX,,,,,,,,,,
county_code_48035,-0.004703353,TX,,,,,,,,,,
county_code_48037,-0.017890407,TX,,,,,,,,,,
county_code_48039,0.017780704,TX,,,,,,,,,,
county_code_48041,-0.017611445,TX,,,,,,,,,,
county_code_48043,-0.001454011,TX,,,,,,,,,,
county_code_48045,-0.000670504,TX,,,,,,,,,,
county_code_48047,-0.000160743,TX,,,,,,,,,,
county_code_48049,-0.002428891,TX,,,,,,,,,,
county_code_48051,-0.01216199,TX,,,,,,,,,,
county_code_48053,-0.003646257,TX,,,,,,,,,,
county_code_48055,-0.023774832,TX,,,,,,,,,,
county_code_48057,-0.002596636,TX,,,,,,,,,,
county_code_48059,-0.003746894,TX,,,,,,,,,,
county_code_48061,-0.021474691,TX,,,,,,,,,,
county_code_48063,-0.001493824,TX,,,,,,,,,,
county_code_48065,-0.000343985,TX,,,,,,,,,,
county_code_48067,-0.012805615,TX,,,,,,,,,,
county_code_48069,-0.0016888,TX,,,,,,,,,,
county_code_48071,-0.012138452,TX,,,,,,,,,,
county_code_48073,-0.026061758,TX,,,,,,,,,,
county_code_48075,-0.000644792,TX,,,,,,,,,,
county_code_48077,0.002898574,TX,,,,,,,,,,
county_code_48079,-0.000883143,TX,,,,,,,,,,
county_code_48081,-0.001538621,TX,,,,,,,,,,
county_code_48083,-0.002554592,TX,,,,,,,,,,
county_code_48085,0.085996594,TX,,,,,,,,,,
county_code_48087,-0.000638076,TX,,,,,,,,,,
county_code_48089,-0.004998371,TX,,,,,,,,,,
county_code_48091,-0.018114567,TX,,,,,,,,,,
county_code_48093,-6.86E-05,TX,,,,,,,,,,
county_code_48095,-0.001519291,TX,,,,,,,,,,
county_code_48097,-0.006242798,TX,,,,,,,,,,
county_code_48099,0.002837909,TX,,,,,,,,,,
county_code_48101,-0.000342739,TX,,,,,,,,,,
county_code_48103,-0.002759334,TX,,,,,,,,,,
county_code_48105,-0.000708143,TX,,,,,,,,,,
county_code_48107,-0.000478442,TX,,,,,,,,,,
county_code_48109,-0.002616968,TX,,,,,,,,,,
county_code_48111,-0.002062487,TX,,,,,,,,,,
county_code_48113,0.193062318,TX,,,,,,,,,,
county_code_48115,-0.001656889,TX,,,,,,,,,,
county_code_48117,-0.004322498,TX,,,,,,,,,,
county_code_48119,-0.000178028,TX,,,,,,,,,,
county_code_48121,0.03465019,TX,,,,,,,,,,
county_code_48123,-0.003343235,TX,,,,,,,,,,
county_code_48125,-0.000547447,TX,,,,,,,,,,
county_code_48127,-0.001778333,TX,,,,,,,,,,
county_code_48129,-0.000814551,TX,,,,,,,,,,
county_code_48131,-0.003377624,TX,,,,,,,,,,
county_code_48133,-0.002378814,TX,,,,,,,,,,
county_code_48135,-0.085997202,TX,,,,,,,,,,
county_code_48137,4.39E-05,TX,,,,,,,,,,
county_code_48139,0.02061714,TX,,,,,,,,,,
county_code_48141,0.062319088,TX,,,,,,,,,,
county_code_48143,0.007283072,TX,,,,,,,,,,
county_code_48145,-0.003138035,TX,,,,,,,,,,
county_code_48147,-0.000201131,TX,,,,,,,,,,
county_code_48149,-0.006141782,TX,,,,,,,,,,
county_code_48151,0.000670439,TX,,,,,,,,,,
county_code_48153,-0.000920525,TX,,,,,,,,,,
county_code_48155,-0.000192767,TX,,,,,,,,,,
county_code_48157,0.021195573,TX,,,,,,,,,,
county_code_48159,-0.002249855,TX,,,,,,,,,,
county_code_48161,-0.010621807,TX,,,,,,,,,,
county_code_48163,-0.007056747,TX,,,,,,,,,,
county_code_48165,-0.010091086,TX,,,,,,,,,,
county_code_48167,0.005167708,TX,,,,,,,,,,
county_code_48169,-0.001373129,TX,,,,,,,,,,
county_code_48171,-0.005223318,TX,,,,,,,,,,
county_code_48173,-0.000697847,TX,,,,,,,,,,
county_code_48175,-0.002627804,TX,,,,,,,,,,
county_code_48177,-0.010316088,TX,,,,,,,,,,
county_code_48179,-4.21E-05,TX,,,,,,,,,,
county_code_48181,0.006529525,TX,,,,,,,,,,
county_code_48183,-0.004689758,TX,,,,,,,,,,
county_code_48185,-0.013117827,TX,,,,,,,,,,
county_code_48187,0.022839618,TX,,,,,,,,,,
county_code_48189,0.001524958,TX,,,,,,,,,,
county_code_48191,-0.00020146,TX,,,,,,,,,,
county_code_48193,-0.001281915,TX,,,,,,,,,,
county_code_48195,-0.000638303,TX,,,,,,,,,,
county_code_48197,-0.000671548,TX,,,,,,,,,,
county_code_48199,-0.03171103,TX,,,,,,,,,,
county_code_48201,0,NY,,,,,,,,,,
county_code_48201,0.224488895,TX,,,,,,,,,,
county_code_48203,-0.020805903,TX,,,,,,,,,,
county_code_48205,-0.000431438,TX,,,,,,,,,,
county_code_48207,-0.001585751,TX,,,,,,,,,,
county_code_48209,-0.025234925,TX,,,,,,,,,,
county_code_48211,0.001738914,TX,,,,,,,,,,
county_code_48213,-0.022348856,TX,,,,,,,,,,
county_code_48215,-0.033734376,TX,,,,,,,,,,
county_code_48217,-0.008181327,TX,,,,,,,,,,
county_code_48219,-0.003778924,TX,,,,,,,,,,
county_code_48221,-0.000401776,TX,,,,,,,,,,
county_code_48223,-0.00157771,TX,,,,,,,,,,
county_code_48225,-0.007922843,TX,,,,,,,,,,
county_code_48227,0.008925128,TX,,,,,,,,,,
county_code_48229,-0.002941376,TX,,,,,,,,,,
county_code_48231,-0.00035297,TX,,,,,,,,,,
county_code_48233,-0.002708853,TX,,,,,,,,,,
county_code_48235,-0.000274262,TX,,,,,,,,,,
county_code_48237,-0.002740264,TX,,,,,,,,,,
county_code_48239,-0.003897269,TX,,,,,,,,,,
county_code_48241,-0.021424042,TX,,,,,,,,,,
county_code_48243,-0.000960745,TX,,,,,,,,,,
county_code_48245,0.000434106,TX,,,,,,,,,,
county_code_48247,-0.000253997,TX,,,,,,,,,,
county_code_48249,-0.003628723,TX,,,,,,,,,,
county_code_48251,0.012683882,TX,,,,,,,,,,
county_code_48253,-0.006636956,TX,,,,,,,,,,
county_code_48255,-0.003398722,TX,,,,,,,,,,
county_code_48257,0.010294599,TX,,,,,,,,,,
county_code_48259,0.005007522,TX,,,,,,,,,,
county_code_48261,-0.000282768,TX,,,,,,,,,,
county_code_48263,-0.00042838,TX,,,,,,,,,,
county_code_48265,-0.005873935,TX,,,,,,,,,,
county_code_48267,-0.00115065,TX,,,,,,,,,,
county_code_48269,-0.00032984,TX,,,,,,,,,,
county_code_48271,-0.000271629,TX,,,,,,,,,,
county_code_48273,0.009895233,TX,,,,,,,,,,
county_code_48275,-0.000282078,TX,,,,,,,,,,
county_code_48277,0.001934303,TX,,,,,,,,,,
county_code_48279,-0.00370989,TX,,,,,,,,,,
county_code_48281,-0.002162396,TX,,,,,,,,,,
county_code_48283,-0.001858868,TX,,,,,,,,,,
county_code_48285,-0.006649963,TX,,,,,,,,,,
county_code_48287,-0.004287211,TX,,,,,,,,,,
county_code_48289,-0.007317553,TX,,,,,,,,,,
county_code_48291,-0.10298641,TX,,,,,,,,,,
county_code_48293,-0.00885955,TX,,,,,,,,,,
county_code_48295,-0.000334339,TX,,,,,,,,,,
county_code_48297,-0.0021272,TX,,,,,,,,,,
county_code_48299,-0.001297245,TX,,,,,,,,,,
county_code_48301,-0.000151745,TX,,,,,,,,,,
county_code_48303,0.016990562,TX,,,,,,,,,,
county_code_48305,-0.00127265,TX,,,,,,,,,,
county_code_48307,0.000183463,TX,,,,,,,,,,
county_code_48309,0.01037807,TX,,,,,,,,,,
county_code_48311,-0.000313262,TX,,,,,,,,,,
county_code_48313,-0.005946118,TX,,,,,,,,,,
county_code_48315,-0.004147173,TX,,,,,,,,,,
county_code_48317,-0.00388297,TX,,,,,,,,,,
county_code_48319,-0.000206183,TX,,,,,,,,,,
county_code_48321,-0.003557582,TX,,,,,,,,,,
county_code_48323,-0.001835592,TX,,,,,,,,,,
county_code_48325,-0.011633444,TX,,,,,,,,,,
county_code_48327,-0.000773956,TX,,,,,,,,,,
county_code_48329,-0.029746099,TX,,,,,,,,,,
county_code_48331,-0.005291588,TX,,,,,,,,,,
county_code_48333,-0.001254102,TX,,,,,,,,,,
county_code_48335,-0.001958302,TX,,,,,,,,,,
county_code_48337,-0.003622717,TX,,,,,,,,,,
county_code_48339,-0.065271402,TX,,,,,,,,,,
county_code_48341,-0.002488443,TX,,,,,,,,,,
county_code_48343,-0.001347511,TX,,,,,,,,,,
county_code_48345,-0.000125454,TX,,,,,,,,,,
county_code_48347,-0.012625654,TX,,,,,,,,,,
county_code_48349,-0.019027155,TX,,,,,,,,,,
county_code_48351,-0.009838936,TX,,,,,,,,,,
county_code_48353,-0.003510652,TX,,,,,,,,,,
county_code_48355,0.059342321,TX,,,,,,,,,,
county_code_48357,0.001226809,TX,,,,,,,,,,
county_code_48359,-0.000257747,TX,,,,,,,,,,
county_code_48361,-0.027598139,TX,,,,,,,,,,
county_code_48363,-0.004129694,TX,,,,,,,,,,
county_code_48365,-0.01095805,TX,,,,,,,,,,
county_code_48367,-0.010288268,TX,,,,,,,,,,
county_code_48369,-0.000470545,TX,,,,,,,,,,
county_code_48371,-0.007124936,TX,,,,,,,,,,
county_code_48373,-0.020052246,TX,,,,,,,,,,
county_code_48375,-0.01560035,TX,,,,,,,,,,
county_code_48377,-0.001391502,TX,,,,,,,,,,
county_code_48379,-0.003163056,TX,,,,,,,,,,
county_code_48381,0.012152145,TX,,,,,,,,,,
county_code_48383,-0.000545587,TX,,,,,,,,,,
county_code_48385,-0.001588525,TX,,,,,,,,,,
county_code_48387,-0.001608754,TX,,,,,,,,,,
county_code_48389,-0.008091726,TX,,,,,,,,,,
county_code_48391,-0.000244961,TX,,,,,,,,,,
county_code_48393,-0.000321241,TX,,,,,,,,,,
county_code_48395,-0.008054678,TX,,,,,,,,,,
county_code_48397,0.029757117,TX,,,,,,,,,,
county_code_48399,-0.000764531,TX,,,,,,,,,,
county_code_48401,-0.01488545,TX,,,,,,,,,,
county_code_48403,-0.005657186,TX,,,,,,,,,,
county_code_48405,-0.005915961,TX,,,,,,,,,,
county_code_48407,-0.017151697,TX,,,,,,,,,,
county_code_48409,0.011916027,TX,,,,,,,,,,
county_code_48411,-0.000999589,TX,,,,,,,,,,
county_code_48413,-0.000215778,TX,,,,,,,,,,
county_code_48415,-0.000886983,TX,,,,,,,,,,
county_code_48417,-0.000134995,TX,,,,,,,,,,
county_code_48419,-0.008791738,TX,,,,,,,,,,
county_code_48421,-0.000236702,TX,,,,,,,,,,
county_code_48423,-0.022031092,TX,,,,,,,,,,
county_code_48425,-0.00202167,TX,,,,,,,,,,
county_code_48427,-0.004384826,TX,,,,,,,,,,
county_code_48429,-0.001529775,TX,,,,,,,,,,
county_code_48431,-0.000515079,TX,,,,,,,,,,
county_code_48433,-0.000149857,TX,,,,,,,,,,
county_code_48435,0.000434146,TX,,,,,,,,,,
county_code_48437,-0.000336702,TX,,,,,,,,,,
county_code_48439,0.173086934,TX,,,,,,,,,,
county_code_48441,-0.008052803,TX,,,,,,,,,,
county_code_48443,-4.59E-05,TX,,,,,,,,,,
county_code_48445,-0.001832266,TX,,,,,,,,,,
county_code_48447,-0.000536592,TX,,,,,,,,,,
county_code_48449,-0.001779696,TX,,,,,,,,,,
county_code_48451,0.006119383,TX,,,,,,,,,,
county_code_48453,-0.046493874,TX,,,,,,,,,,
county_code_48455,-0.008785631,TX,,,,,,,,,,
county_code_48457,-0.01441407,TX,,,,,,,,,,
county_code_48459,-0.010253983,TX,,,,,,,,,,
county_code_48461,-0.002355158,TX,,,,,,,,,,
county_code_48463,-0.000271176,TX,,,,,,,,,,
county_code_48465,-0.001857162,TX,,,,,,,,,,
county_code_48467,-0.022975747,TX,,,,,,,,,,
county_code_48469,-0.021862795,TX,,,,,,,,,,
county_code_48471,-0.016777036,TX,,,,,,,,,,
county_code_48473,-0.011979123,TX,,,,,,,,,,
county_code_48475,-0.006185558,TX,,,,,,,,,,
county_code_48477,-0.012923819,TX,,,,,,,,,,
county_code_48479,0.091152037,TX,,,,,,,,,,
county_code_48481,-0.004249289,TX,,,,,,,,,,
county_code_48483,-0.000862911,TX,,,,,,,,,,
county_code_48485,0.010185766,TX,,,,,,,,,,
county_code_48487,0.000178256,TX,,,,,,,,,,
county_code_48489,-0.003168751,TX,,,,,,,,,,
county_code_48491,0.024861782,TX,,,,,,,,,,
county_code_48493,-0.011287587,TX,,,,,,,,,,
county_code_48495,-0.00339807,TX,,,,,,,,,,
county_code_48497,-0.00384498,TX,,,,,,,,,,
county_code_48499,-0.004961664,TX,,,,,,,,,,
county_code_48501,-0.00176851,TX,,,,,,,,,,
county_code_48503,-0.002304229,TX,,,,,,,,,,
county_code_48505,0.000448461,TX,,,,,,,,,,
county_code_48507,-0.001209489,TX,,,,,,,,,,
county_code_53003,-0.007403906,WA,,,,,,,,,,
county_code_53005,0.130739961,WA,,,,,,,,,,
county_code_53007,-0.085710336,WA,,,,,,,,,,
