,Feature,Coefficient,Abs_Coefficient
336,county_code_48069,-0.000465347,0.000465347
122,county_code_48071,-0.004168578,0.004168578
98,county_code_48073,-0.006493907,0.006493907
350,county_code_48075,-0.000374834,0.000374834
327,county_code_48077,0.000537804,0.000537804
369,county_code_48079,-0.000289474,0.000289474
348,county_code_48081,-0.00037829,0.00037829
272,county_code_48083,-0.000832305,0.000832305
33,county_code_48085,0.034274607144242054,0.034274607144242054
393,county_code_48087,-0.000182359,0.000182359
191,county_code_48089,-0.002056123,0.002056123
291,county_code_48091,-0.000720205,0.000720205
335,county_code_48093,-0.000496525,0.000496525
359,county_code_48095,-0.000338689,0.000338689
245,county_code_48097,-0.001131502,0.001131502
298,county_code_48099,0.000673813,0.000673813
423,county_code_48101,-0.000111254,0.000111254
293,county_code_48103,-0.000712554,0.000712554
411,county_code_48105,-0.000132758,0.000132758
432,county_code_48107,-8.92E-05,8.916724544488072e-05
323,county_code_48109,-0.000571095,0.000571095
265,county_code_48111,-0.000891969,0.000891969
46,county_code_48113,0.017655519995221185,0.017655519995221185
342,county_code_48115,-0.000417834,0.000417834
372,county_code_48117,-0.000285625,0.000285625
340,county_code_48119,-0.000423285,0.000423285
36,county_code_48121,0.027507738266588484,0.027507738266588484
263,county_code_48123,-0.00089716,0.00089716
405,county_code_48125,-0.000139168,0.000139168
281,county_code_48127,-0.000796965,0.000796965
424,county_code_48129,0.000108533,0.000108533
257,county_code_48131,-0.000972683,0.000972683
218,county_code_48133,-0.001527275,0.001527275
31,county_code_48135,-0.036013846,0.036013846
378,county_code_48137,-0.000255286,0.000255286
227,county_code_48139,-0.001405516,0.001405516
93,county_code_48141,0.006974411,0.006974411
429,county_code_48143,-9.71E-05,9.705249492642641e-05
289,county_code_48145,-0.000740516,0.000740516
206,county_code_48147,-0.001767825,0.001767825
202,county_code_48149,-0.00181607,0.00181607
383,county_code_48151,-0.00023851,0.00023851
367,county_code_48153,-0.00029812,0.00029812
467,county_code_48155,-1.92E-05,1.9192652561868516e-05
64,county_code_48157,0.012497269645910566,0.012497269645910566
416,county_code_48159,-0.00011994,0.00011994
199,county_code_48161,-0.001910159,0.001910159
146,county_code_48163,-0.003402174,0.003402174
140,county_code_48165,-0.003601233,0.003601233
106,county_code_48167,0.005402459,0.005402459
296,county_code_48169,-0.00068915,0.00068915
311,county_code_48171,-0.000616146,0.000616146
396,county_code_48173,-0.000174115,0.000174115
302,county_code_48175,-0.00064768,0.00064768
158,county_code_48177,-0.002994494,0.002994494
285,county_code_48179,0.000761199,0.000761199
176,county_code_48181,-0.002479485,0.002479485
274,county_code_48183,0.00081792,0.00081792
124,county_code_48185,-0.004157673,0.004157673
252,county_code_48187,-0.001021946,0.001021946
390,county_code_48189,0.000202476,0.000202476
460,county_code_48191,-3.23E-05,3.2317729431778125e-05
353,county_code_48193,-0.000356314,0.000356314
419,county_code_48195,-0.000114466,0.000114466
399,county_code_48197,-0.000162118,0.000162118
71,county_code_48199,-0.009929918,0.009929918
290,county_code_48201,-0.000723853,0.000723853
102,county_code_48203,-0.006208983,0.006208983
494,county_code_48205,-8.47E-06,8.471777223559997e-06
404,county_code_48207,0.000139433,0.000139433
166,county_code_48209,-0.00273098,0.00273098
446,county_code_48211,-5.90E-05,5.9024368075692215e-05
70,county_code_48213,-0.010500063,0.010500063146625339
62,county_code_48215,-0.01335144,0.013351440488161673
150,county_code_48217,-0.003194274,0.003194274
121,county_code_48219,-0.004183166,0.004183166
388,county_code_48221,0.000215268,0.000215268
276,county_code_48223,-0.000817498,0.000817498
148,county_code_48225,-0.003318558,0.003318558
264,county_code_48227,-0.00089211,0.00089211
260,county_code_48229,-0.000949074,0.000949074
103,county_code_48231,-0.005987762,0.005987762
465,county_code_48233,-2.07E-05,2.0743769630450114e-05
415,county_code_48235,-0.00012333,0.00012333
427,county_code_48237,-0.000101484,0.000101484
271,county_code_48239,-0.000834673,0.000834673
91,county_code_48241,-0.007028736,0.007028736
412,county_code_48243,-0.000128271,0.000128271
163,county_code_48245,0.002843994,0.002843994
343,county_code_48247,-0.000407508,0.000407508
144,county_code_48249,-0.003531285,0.003531285
114,county_code_48251,-0.004803033,0.004803033
248,county_code_48253,-0.001088851,0.001088851
215,county_code_48255,-0.001556289,0.001556289
90,county_code_48257,-0.00715721,0.00715721
