,Feature,Coefficient,Abs_Coefficient
99,county_code_06095,0.006456415,0.006456415
205,county_code_06097,0.00177439,0.00177439
85,county_code_06099,0.007847927,0.007847927
268,county_code_06101,0.000876334,0.000876334
244,county_code_06103,0.001143079,0.001143079
426,county_code_06105,0.000106272,0.000106272
60,county_code_06107,0.013508749803174474,0.013508749803174474
313,county_code_06109,0.000603325,0.000603325
118,county_code_06111,0.004412962,0.004412962
216,county_code_06113,0.001546795,0.001546795
233,county_code_06115,0.001308969,0.001308969
538,county_code_08035,8.178085952000893e-07,8.178085952000893e-07
571,county_code_08043,0,0
533,county_code_08051,9.42662331482505e-07,9.42662331482505e-07
484,county_code_08123,-9.92E-06,9.922232876454053e-06
564,county_code_09001,0,0
563,county_code_09003,0,0
479,county_code_09005,-1.05E-05,1.0475515604496184e-05
475,county_code_12019,-1.12E-05,1.1195591145192281e-05
507,county_code_12057,2.610943955265048e-06,2.610943955265048e-06
530,county_code_12099,9.713454168443656e-07,9.713454168443656e-07
536,county_code_12101,8.644573143208432e-07,8.644573143208432e-07
542,county_code_12115,7.453226974509701e-07,7.453226974509701e-07
541,county_code_13121,7.506058769107145e-07,7.506058769107145e-07
480,county_code_13185,-1.03E-05,1.0254525102433082e-05
486,county_code_13261,-9.59E-06,9.59157633785986e-06
570,county_code_13297,0,0
485,county_code_13311,-9.65E-06,9.64818166874199e-06
537,county_code_16009,8.290037806167285e-07,8.290037806167285e-07
469,county_code_16017,-1.79E-05,1.7940728850970745e-05
504,county_code_16021,3.881434572223904e-06,3.881434572223904e-06
567,county_code_16027,0,0
488,county_code_16049,-9.29E-06,9.294541490766007e-06
500,county_code_16055,-5.50E-06,5.499042062476035e-06
