county_code,activity_year,census_tract,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
48029,2020,48029181005,4028,0.7145,0.57,152,494,40
48029,2020,48029121508,4727,0.758,0.72,806,1650,37
48029,2020,48029171700,7851,0.8603,0.54,1409,2235,44
48029,2020,48029191201,3038,0.5053,1.38,954,1167,49
48029,2020,48029171922,3409,0.8208,0.98,776,1027,11
48029,2020,48029121808,3660,0.5891,1.27,831,1133,21
48029,2020,48029170500,4884,0.9294,0.65,881,1603,67
48029,2020,48029181816,4608,0.6003,1.29,1374,1546,29
48029,2020,48029121504,7681,0.62,1.25,1739,2372,27
48029,2020,48029121903,5512,0.2444,1.81,1661,1851,20
48029,2020,48029180800,2349,0.8238,0.52,139,426,46
48029,2020,48029181713,7903,0.7062,1.07,1718,2429,30
48029,2020,48029181506,4263,0.7091,1.0,743,1036,41
48029,2020,48029181715,6237,0.7274,0.85,1374,2138,31
48029,2020,48029181705,5558,0.7733,0.83,864,1275,15
48029,2020,48029121203,4080,0.7527,0.74,801,1433,45
48029,2020,48029171502,4992,0.9513,0.45,1072,1443,50
48029,2020,48029130200,2269,0.9643,0.48,214,657,66
48029,2020,48029191411,4368,0.4512,1.39,757,895,23
48029,2020,48029120300,7593,0.272,2.44,2411,2937,68
48029,2020,48029120600,5780,0.3104,0.98,1253,1968,56
48029,2020,48029131507,6876,0.8806,0.63,1098,2025,31
48029,2020,48029131000,5394,0.9344,0.53,1104,1780,50
48029,2020,48029121811,5090,0.5022,1.37,1315,1525,12
48029,2020,48029180603,2025,0.7975,0.75,375,507,41
48029,2020,48029170101,4133,0.9959,0.52,614,1268,66
48029,2020,48029191810,5439,0.4508,1.69,905,1281,11
48029,2020,48029121120,5504,0.4998,1.26,1393,2105,26
48029,2020,48029161600,4638,0.8941,0.68,701,1102,49
48029,2020,48029171920,8852,0.8694,1.02,1827,2500,17
48029,2020,48029121803,4664,0.6314,1.09,1020,1583,39
48029,2020,48029121108,7365,0.4072,1.21,1566,2085,31
48029,2020,48029141900,5714,0.4403,1.01,1306,1751,30
48029,2020,48029191202,5036,0.6382,0.93,1071,1816,47
48029,2020,48029161501,8137,0.8209,0.67,1094,1939,43
48029,2020,48029191405,7838,0.4385,1.46,2241,2810,31
48029,2020,48029151600,7379,0.8517,0.67,1533,2078,53
